initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
1000,"[-7, -11, -15, -19, -23, -27]",-7,4,6,6,15,-415.0,-4150.0,222,66.22,33.78,-18.69,3.74,-150.0,50.0,
1000,"[-5, -8, -11, -14, -17, -20]",-5,3,6,7,20,-415.1667,-4151.67,204,79.9,20.1,-20.35,6.33,-200.0,70.0,
1000,"[-8, -11, -14, -17, -20]",-8,3,5,4,10,-415.6,-4156.0,271,43.17,56.83,-15.34,0.67,-100.0,16.0,
1000,"[-6, -10, -14, -18]",-6,4,4,3,15,-416.25,-4162.5,365,83.56,16.44,-11.4,1.47,-150.0,30.0,
1000,"[-6, -9, -12, -15, -18, -21]",-6,3,6,3,10,-417.0,-4170.0,434,66.36,33.64,-9.61,0.81,-100.0,15.0,
1000,"[-7, -12, -17]",-7,5,3,3,15,-417.0,-4170.0,291,79.73,20.27,-14.33,1.56,-150.0,30.0,
1000,"[-6, -10, -14, -18, -22]",-6,4,5,7,15,-420.0,-4200.0,232,67.67,32.33,-18.1,4.64,-150.0,70.0,
1000,"[-6, -11, -16, -21]",-6,5,4,5,15,-420.0,-4200.0,267,72.28,27.72,-15.73,3.44,-150.0,50.0,
1000,"[-8, -12, -16, -20]",-8,4,4,5,10,-420.0,-4200.0,262,37.02,62.98,-16.03,0.83,-100.0,25.0,
1000,"[-8, -12, -16, -20]",-8,4,4,6,10,-420.0,-4200.0,258,34.11,65.89,-16.28,1.11,-100.0,30.0,
1000,"[-7, -10, -13, -16, -19, -22]",-7,3,6,7,15,-420.5,-4205.0,212,65.09,34.91,-19.83,4.24,-150.0,70.0,
1000,"[-6, -10, -14, -18, -22, -26]",-6,4,6,3,10,-421.1667,-4211.67,426,64.08,35.92,-9.89,0.87,-100.0,10.0,
1000,"[-7, -10, -13, -16, -19, -22]",-7,3,6,3,10,-422.3333,-4223.33,352,60.23,39.77,-12.0,0.69,-100.0,10.0,
1000,"[-8, -11, -14, -17, -20]",-8,3,5,3,15,-423.6,-4236.0,240,76.67,23.33,-17.65,1.23,-150.0,30.0,
1000,"[-8, -12, -16, -20]",-8,4,4,6,20,-424.5,-4245.0,159,77.36,22.64,-26.7,4.55,-200.0,60.0,
1000,"[-7, -12, -17]",-7,5,3,4,10,-424.6667,-4246.67,336,52.68,47.32,-12.64,0.98,-100.0,26.67,
1000,"[-7, -10, -13, -16, -19, -22]",-7,3,6,6,15,-425.5,-4255.0,230,68.26,31.74,-18.5,3.39,-150.0,60.0,
1000,"[-5, -9, -13]",-5,4,3,3,15,-428.0,-4280.0,451,86.03,13.97,-9.49,1.63,-150.0,30.0,
1000,"[-6, -9, -12]",-6,3,3,3,15,-428.0,-4280.0,363,84.02,15.98,-11.79,1.5,-150.0,30.0,
1000,"[-5, -8, -11]",-5,3,3,6,15,-429.0,-4290.0,283,73.5,26.5,-15.16,4.12,-150.0,60.0,
1000,"[-7, -11, -15, -19]",-7,4,4,7,20,-429.0,-4290.0,166,75.9,24.1,-25.84,6.02,-200.0,70.0,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,6,15,-429.0,-4290.0,198,63.64,36.36,-21.67,2.9,-150.0,60.0,
1000,"[-8, -13, -18]",-8,5,3,3,10,-430.6667,-4306.67,277,48.74,51.26,-15.55,0.48,-100.0,20.0,
1000,"[-6, -10, -14, -18, -22]",-6,4,5,6,15,-430.8,-4308.0,252,70.24,29.76,-17.1,3.91,-150.0,60.0,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,5,15,-430.8333,-4308.33,210,66.67,33.33,-20.52,2.25,-150.0,50.0,
1000,"[-7, -11, -15, -19, -23]",-7,4,5,4,15,-432.0,-4320.0,268,75.37,24.63,-16.12,2.18,-150.0,40.0,
1000,"[-6, -11, -16]",-6,5,3,3,15,-433.0,-4330.0,354,82.77,17.23,-12.23,1.63,-150.0,30.0,
1000,"[-5, -8, -11, -14, -17]",-5,3,5,3,15,-433.8,-4338.0,454,86.56,13.44,-9.56,1.61,-150.0,30.0,
1000,"[-8, -11, -14, -17, -20]",-8,3,5,6,20,-434.4,-4344.0,162,77.78,22.22,-26.81,4.3,-200.0,60.0,
1000,"[-5, -9, -13, -17]",-5,4,4,6,15,-435.75,-4357.5,284,73.94,26.06,-15.34,4.14,-150.0,60.0,
1000,"[-5, -9, -13, -17, -21]",-5,4,5,3,10,-437.0,-4370.0,531,70.62,29.38,-8.23,1.03,-100.0,12.0,
1000,"[-8, -11, -14, -17, -20]",-8,3,5,5,10,-437.0,-4370.0,262,37.02,62.98,-16.68,0.83,-100.0,20.0,
1000,"[-7, -11, -15, -19]",-7,4,4,4,10,-438.0,-4380.0,336,52.68,47.32,-13.04,0.98,-100.0,20.0,
1000,"[-8, -12, -16, -20]",-8,4,4,7,10,-438.0,-4380.0,246,29.27,70.73,-17.8,1.5,-100.0,35.0,
1000,"[-5, -8, -11, -14, -17, -20]",-5,3,6,3,10,-439.8333,-4398.33,536,71.08,28.92,-8.21,0.98,-100.0,15.0,
1000,"[-6, -10, -14, -18, -22]",-6,4,5,5,15,-440.0,-4400.0,278,73.38,26.62,-15.83,3.16,-150.0,50.0,
1000,"[-5, -8, -11, -14, -17, -20]",-5,3,6,7,15,-440.5,-4405.0,248,70.16,29.84,-17.76,4.99,-150.0,70.0,
1000,"[-5, -9, -13, -17]",-5,4,4,4,15,-442.0,-4420.0,378,81.22,18.78,-11.69,2.49,-150.0,40.0,
